time,rad,vv_x_10,vv_y_10,vv_x_100,vv_y_100,ta,hr,pa,mes,hora
2016-12-31 19:00:00,-3.4722223e-05,-0.4567603,-0.45964342,-0.1405983,-1.2844479,13.955505,94.70231,76.23741,12,19
2016-12-31 20:00:00,-3.4722223e-05,-0.80770934,-0.17949784,-1.0455581,-0.8729439,13.721558,94.46438,76.30975,12,20
2016-12-31 21:00:00,-3.4722223e-05,-0.9361453,0.05841148,-1.2583485,-0.06508803,13.505707,95.51356,76.36067,12,21
2016-12-31 22:00:00,-3.4722223e-05,-1.2482364,0.14288414,-2.0264113,0.39825273,12.994415,93.771194,76.398285,12,22
2016-12-31 23:00:00,-3.4722223e-05,-1.4547974,0.054451823,-2.5029082,0.49395132,12.7230835,94.15582,76.39134,12,23
2017-01-01 00:00:00,-3.4722223e-05,-1.6793557,0.3009404,-2.5908103,0.6797662,12.2491455,94.42543,76.343315,1,0
2017-01-01 01:00:00,-3.4722223e-05,-1.9141399,0.18875015,-3.1470435,0.50990105,12.054413,94.676,76.31322,1,1
2017-01-01 02:00:00,-3.4722223e-05,-1.9456353,0.4194001,-3.1475239,0.9182153,11.578064,93.63669,76.24089,1,2
2017-01-01 03:00:00,-3.4722223e-05,-1.8732367,0.43688858,-3.0937257,1.1271572,11.497284,91.45548,76.193436,1,3
2017-01-01 04:00:00,-3.4722223e-05,-1.6155468,0.28840148,-2.6854372,0.9042592,11.889801,91.67888,76.165085,1,4
2017-01-01 05:00:00,-3.4722223e-05,-1.6867182,0.11483657,-2.6018581,0.7519388,12.598267,90.33583,76.17261,1,5
2017-01-01 06:00:00,-3.4722223e-05,-1.6167738,0.25177467,-2.5797625,0.63710046,12.622986,91.75055,76.26635,1,6
2017-01-01 07:00:00,23.557014,-1.4163485,0.14882362,-2.3391123,0.6522527,13.020325,92.49765,76.31438,1,7
2017-01-01 08:00:00,130.02556,-1.1349347,0.31446922,-1.7055445,0.44530463,13.569611,88.93161,76.37282,1,8
2017-01-01 09:00:00,320.5769,-0.71281403,0.5134419,-1.143067,0.62952423,17.268707,72.52915,76.428375,1,9
2017-01-01 10:00:00,433.75958,-1.2261487,0.672488,-1.7713511,0.86956835,18.269012,66.06256,76.41564,1,10
2017-01-01 11:00:00,610.70123,-1.565645,0.9744117,-2.273306,1.2711039,19.253632,62.385876,76.37051,1,11
2017-01-01 12:00:00,552.00665,-0.78521264,0.99388003,-1.4279083,1.2447867,20.23645,52.622044,76.30107,1,12
2017-01-01 13:00:00,598.1804,-0.07758796,0.5309304,-0.5152632,0.7383816,20.2901,52.927994,76.24957,1,13
2017-01-01 14:00:00,553.7718,0.15310585,0.102627635,-0.31592238,0.23117888,20.547577,53.447098,76.15177,1,14
2017-01-01 15:00:00,485.67413,-0.11358273,-0.39925873,-0.5416819,-0.28439736,20.393219,54.896866,76.09911,1,15
2017-01-01 16:00:00,419.78702,-0.31032693,-0.48109156,-0.81979847,-0.4131918,20.680817,65.74667,76.07829,1,16
2017-01-01 17:00:00,223.34642,0.6987541,-1.210988,0.3037157,-1.6150068,18.326904,70.44736,76.12111,1,17
2017-01-01 18:00:00,55.543785,0.35925782,-1.349906,0.7701254,-1.7832769,17.511108,82.15366,76.17492,1,18
2017-01-01 19:00:00,-3.4722223e-05,-0.7835765,-0.7879649,0.4065082,-1.519707,16.79602,86.817474,76.285446,1,19
2017-01-01 20:00:00,-3.4722223e-05,-1.1815642,-0.18807709,-1.3188713,-1.1895468,16.435455,87.981346,76.33926,1,20
2017-01-01 21:00:00,-3.4722223e-05,-1.1361618,-0.11284363,-1.1521934,-0.88809615,15.8367,92.30383,76.41391,1,21
2017-01-01 22:00:00,-3.4722223e-05,-1.2404648,-0.14848053,-1.4240656,-0.6711793,14.994385,90.63455,76.46367,1,22
2017-01-01 23:00:00,-3.4722223e-05,-1.3766724,-0.03398049,-2.2464068,-0.29277098,14.50119,90.613075,76.44168,1,23
2017-01-02 00:00:00,-3.4722223e-05,-1.5051082,0.10460746,-2.835303,0.168576,14.443909,88.00208,76.427216,1,0
2017-01-02 01:00:00,-3.4722223e-05,-1.7738421,0.12308586,-3.133594,0.30933273,14.381195,87.44858,76.37977,1,1
2017-01-02 02:00:00,-3.4722223e-05,-1.8548303,0.25507438,-3.233985,0.51069856,14.406525,83.53875,76.30396,1,2
