time,rad,vv_x_10,vv_y_10,vv_x_100,vv_y_100,ta,hr,pa,mes,hora
2014-12-31 19:00:00,0.0,-0.9694536,0.18124127,-1.9980552,0.18731642,20.51474,68.81868,79.82598,12,19
2014-12-31 20:00:00,0.0,-1.0728409,-0.019437551,-1.7915814,0.019824982,19.62973,72.04932,79.875595,12,20
2014-12-31 21:00:00,0.0,-1.3016825,0.24172449,-1.4336596,0.41276932,18.10852,79.33792,79.95001,12,21
2014-12-31 22:00:00,0.0,-0.99683285,0.10991979,-1.0772519,0.38932896,16.51297,85.733986,79.97655,12,22
2014-12-31 23:00:00,0.0,-0.9833474,0.24067569,-1.3018999,0.33605564,15.951752,89.15851,79.958664,12,23
2015-01-01 00:00:00,0.0,-1.2951441,0.045241117,-1.6431623,0.16046667,15.269989,91.316505,79.90963,1,0
2015-01-01 01:00:00,0.0,-1.4128339,-0.12082577,-1.7274683,-0.050495863,14.951019,93.4832,79.861176,1,1
2015-01-01 02:00:00,0.0,-1.1529355,-0.2893399,-1.7239347,-0.24824655,15.276581,94.50049,79.80175,1,2
2015-01-01 03:00:00,0.0,-1.1619256,-0.35961246,-1.7007124,-0.39400256,13.919678,95.66709,79.78964,1,3
2015-01-01 04:00:00,0.0,-0.9808955,-0.47218835,-1.7910764,-0.5998508,13.67804,96.63909,79.78676,1,4
2015-01-01 05:00:00,0.0,-0.86729217,-0.22466123,-1.8284335,-0.61050546,15.280182,94.145676,79.81733,1,5
2015-01-01 06:00:00,0.0,-0.84767723,-0.23130393,-2.0238013,-0.36970985,15.076324,93.70514,79.87848,1,6
2015-01-01 07:00:00,27.060625,-1.0430098,-0.30017793,-2.2312849,-0.2976843,15.123108,94.12651,79.90386,1,7
2015-01-01 08:00:00,213.33131,-1.1729591,-0.085864305,-1.8218708,-0.12720954,15.94516,88.47259,79.98116,1,8
2015-01-01 09:00:00,417.26547,-1.4361267,0.15536964,-1.9940166,0.14341915,19.73346,71.231995,79.99271,1,9
2015-01-01 10:00:00,577.68604,-1.5100917,0.31304574,-2.0899336,0.31517243,20.792969,64.07579,79.95694,1,10
2015-01-01 11:00:00,780.3301,-1.6388149,0.35779643,-2.2529924,0.39188612,21.57544,59.947456,79.921165,1,11
2015-01-01 12:00:00,822.50574,-1.7507839,0.3584957,-2.4291768,0.4229977,23.236969,51.10991,79.83406,1,12
2015-01-01 13:00:00,814.8925,-1.8672478,0.28612542,-2.6275735,0.31517243,24.141754,48.236393,79.72157,1,13
2015-01-01 14:00:00,772.2549,-1.9579672,0.20781183,-2.7815456,0.22865653,24.348022,47.22518,79.64773,1,14
