Período: 23/5/2021 0:00:00 -  13:21:30
Fecha,Potencia CA (Inv 1) [W],Potencia CA (Inv 2) [W],Potencia CA (Inv 3) [W],Potencia CA (Inv 4) [W],Potencia CA (Inv 5) [W],Potencia CA (Inv 6) [W]
0:00,0,0,0,0,0,0
0:05,0,0,0,0,0,0
0:10,0,0,0,0,0,0
0:15,0,0,0,0,0,0
0:20,0,0,0,0,0,0
0:25,0,0,0,0,0,0
0:30,0,0,0,0,0,0
0:35,0,0,0,0,0,0
0:40,0,0,0,0,0,0
0:45,0,0,0,0,0,0
0:50,0,0,0,0,0,0
0:55,0,0,0,0,0,0
1:00,0,0,0,0,0,0
1:05,0,0,0,0,0,0
1:10,0,0,0,0,0,0
1:15,0,0,0,0,0,0
1:20,0,0,0,0,0,0
1:25,0,0,0,0,0,0
1:30,0,0,0,0,0,0
1:35,0,0,0,0,0,0
1:40,0,0,0,0,0,0
1:45,0,0,0,0,0,0
1:50,0,0,0,0,0,0
1:55,0,0,0,0,0,0
2:00,0,0,0,0,0,0
2:05,0,0,0,0,0,0
2:10,0,0,0,0,0,0
2:15,0,0,0,0,0,0
2:20,0,0,0,0,0,0
2:25,0,0,0,0,0,0
2:30,0,0,0,0,0,0
2:35,0,0,0,0,0,0
2:40,0,0,0,0,0,0
2:45,0,0,0,0,0,0
2:50,0,0,0,0,0,0
2:55,0,0,0,0,0,0
3:00,0,0,0,0,0,0
3:05,0,0,0,0,0,0
3:10,0,0,0,0,0,0
3:15,0,0,0,0,0,0
3:20,0,0,0,0,0,0
3:25,0,0,0,0,0,0
3:30,0,0,0,0,0,0
3:35,0,0,0,0,0,0
3:40,0,0,0,0,0,0
3:45,0,0,0,0,0,0
3:50,0,0,0,0,0,0
3:55,0,0,0,0,0,0
4:00,0,0,0,0,0,0
4:05,0,0,0,0,0,0
4:10,0,0,0,0,0,0
4:15,0,0,0,0,0,0
4:20,0,0,0,0,0,0
4:25,0,0,0,0,0,0
4:30,0,0,0,0,0,0
4:35,0,0,0,0,0,0
4:40,0,0,0,0,0,0
4:45,0,0,0,0,0,0
4:50,0,0,0,0,0,0
4:55,0,0,0,0,0,0
5:00,0,0,0,0,0,0
5:05,0,0,0,0,0,0
5:10,0,0,0,0,0,0
5:15,0,0,0,0,0,0
5:20,0,0,0,0,0,0
5:25,0,0,0,0,0,0
5:30,0,0,0,0,0,0
5:35,0,0,0,0,0,0
5:40,0,0,0,0,0,0
5:45,0,0,0,0,0,0
5:50,0.00,0.00,0,0,0,0
5:55,21.96,55.41,70.58,0.00,0.00,0.00
6:00,135.14,178.96,214.54,6.83,96.58,415.67
6:05,459.34,491.93,555.39,138.19,167.76,467.53
6:10,757.76,774.56,836.23,468.13,431.97,851.07
6:15,1213.42,1212.68,1189.55,926.95,696.86,1039.94
6:20,2098.35,2056.24,2070.21,1755.31,1271.88,1553.55
6:25,3279.09,3067.01,3150.71,2809.21,1992.26,2257.88
6:30,4108.61,3744.89,3875.13,3619.27,2460.18,2721.22
6:35,4752.08,4487.11,4496.94,4242.26,2845.11,3108.01
6:40,5415.87,5114.86,5131.60,4868.62,3219.12,3485.65
6:45,6111.71,5766.20,5794.13,5525.38,3602.43,3873.00
6:50,6710.38,6323.20,6375.99,6073.42,3930.92,4219.58
6:55,7314.96,6888.05,6970.21,6644.71,4279.88,4589.12
7:00,8105.70,7637.52,7725.32,7403.49,4758.18,5072.31
7:05,9022.43,8524.26,8621.61,8298.38,5273.23,5643.74
7:10,9685.52,9168.36,9253.23,8936.65,5664.60,6046.50
7:15,10157.53,9607.61,9695.93,9380.91,5897.57,6309.46
7:20,10830.48,10225.22,10324.58,10016.45,6344.94,6754.12
7:25,11593.51,10949.39,11050.43,10718.56,6719.77,7143.40
7:30,12425.08,11744.05,11808.41,11456.80,7118.64,7606.75
7:35,12503.19,11779.66,11808.12,11419.08,6975.13,7541.19
7:40,11418.53,10620.00,10559.55,10111.38,6207.29,6849.28
7:45,11839.88,11044.48,11025.17,10643.65,6518.56,7106.57
7:50,17735.40,17404.41,17990.54,18283.47,11108.57,10922.13
7:55,13174.00,12356.22,12540.24,12463.32,7811.92,8154.19
8:00,13205.57,12350.24,12493.32,12289.36,7647.90,8110.89
8:05,13294.87,12441.10,12472.73,12279.16,7645.26,8179.73
8:10,13343.61,12479.60,12517.03,12305.17,7557.32,8125.48
8:15,13846.36,12854.40,12826.25,12680.53,7727.20,8314.74
8:20,15472.36,14492.51,14547.23,14400.57,8829.49,9377.17
8:25,15698.26,14785.08,14943.15,14900.89,9113.62,9545.07
8:30,15469.78,14777.89,15118.84,15069.05,9491.27,9784.63
8:35,17096.97,16360.58,16692.97,16582.78,10496.07,10796.51
8:40,22233.88,21480.20,21832.01,21618.79,13519.37,13977.12
8:45,33604.44,32727.54,32494.66,31715.57,19022.13,20289.26
8:50,23043.17,22025.26,22220.91,21850.85,13577.18,14229.72
8:55,32952.85,32367.66,32612.90,32166.99,20300.12,20853.62
9:00,27974.16,27264.00,27607.67,27317.40,17074.69,17522.12
9:05,23827.64,22914.98,23319.27,23084.98,14344.81,14860.83
9:10,30910.96,30263.11,30579.25,30365.89,19037.26,19589.67
9:15,50259.69,51216.61,52231.16,51909.72,34205.64,33985.69
9:20,52119.93,51678.40,51828.30,50928.26,33998.42,33846.10
9:25,37274.17,37875.10,39131.59,39686.50,31161.02,28838.60
9:30,43795.04,43814.77,44340.71,44135.15,28384.60,28753.82
9:35,47698.02,46446.42,46668.96,45721.58,31741.98,32244.77
9:40,54650.62,55874.21,57820.30,57717.17,37745.60,38084.05
9:45,45664.07,44986.78,44689.38,44097.05,28407.05,29764.82
9:50,31424.37,30475.91,30844.69,31445.19,19473.08,19613.42
9:55,56975.93,56393.86,56762.40,56481.62,37956.75,38513.64
10:00,61031.32,61254.72,60983.05,60737.77,40692.62,41343.04
10:05,44199.47,43623.21,44000.18,43657.54,27626.87,28128.31
10:10,43951.55,44010.47,44581.64,44618.75,28391.15,28404.63
10:15,36156.86,35973.47,36380.00,36212.64,22839.83,23076.75
10:20,38362.40,38119.79,38373.42,38036.63,24858.61,25171.13
10:25,46376.22,46340.87,46661.93,46416.29,29794.61,30094.90
10:30,51268.33,51306.88,51897.03,51593.92,33744.31,33745.17
10:35,53884.50,54071.20,54871.04,54398.78,35750.80,35921.80
10:40,54371.09,54399.11,54912.38,54683.32,35046.31,35245.08
10:45,41123.27,41424.62,42238.96,42741.08,27170.82,26729.10
10:50,53095.78,53073.53,53582.43,53295.64,34345.21,34451.76
10:55,51593.09,52304.11,53397.93,54101.22,34173.92,33624.53
11:00,51770.32,51480.13,52084.46,51817.89,33063.50,33453.17
11:05,58849.00,59098.90,59287.21,58928.08,41166.10,41034.48
11:10,62373.10,62476.40,62871.98,62668.58,43497.16,43180.41
11:15,57258.20,57648.42,58227.65,57912.30,37604.37,37729.35
11:20,57590.93,58045.04,58855.01,58708.84,38255.00,38106.81
11:25,60949.10,59724.73,58138.04,56402.36,36992.32,38796.11
11:30,63101.64,63206.94,62507.19,61677.65,42434.95,43789.25
11:35,33756.46,33418.06,32883.15,32701.87,21672.62,22427.74
11:40,18857.04,18265.95,18505.80,18177.52,11669.04,12119.32
11:45,50951.15,50301.46,50160.23,49555.99,35198.19,35673.45
11:50,61368.75,61431.90,62789.54,62669.47,44752.99,43995.59
11:55,38641.39,37496.62,37497.43,36945.69,25828.47,26343.88
12:00,51391.28,52270.80,53408.41,52921.87,35781.36,35705.67
12:05,41417.43,42085.66,43019.89,43760.47,28532.12,27878.10
12:10,64291.99,64102.10,64216.65,63586.30,43726.76,44243.34
12:15,62054.42,60336.48,58513.06,56070.85,39195.72,42517.02
12:20,48287.78,47836.51,48836.56,48671.01,31639.60,31927.73
12:25,56923.94,56619.87,57285.95,57240.14,36214.85,36653.99
12:30,44577.12,43457.02,43133.42,42475.51,26943.55,28338.99
12:35,52826.91,52600.60,53337.45,52914.99,35617.53,35644.12
12:40,54161.36,55287.80,55885.80,56853.05,37865.48,37602.77
12:45,25603.50,24929.85,25099.50,24680.99,15462.23,16153.26
12:50,43064.69,42402.23,42545.56,42542.77,27445.96,28190.59
12:55,33256.88,33197.50,33524.45,32683.99,20893.95,26068.38
13:00,43296.31,43104.42,42842.37,42647.67,29141.99,33902.47
13:05,25593.91,25290.35,26045.88,25437.68,16251.55,16563.08
13:10,16837.15,15711.09,15771.11,15600.49,9743.53,10385.62
13:15,11976.83,10831.86,10972.77,10787.13,6918.96,7480.30
13:20,47472.22,47123.94,46552.28,46708.59,30135.92,30951.65
13:25,57900.52,58099.34,58905.85,58251.78,37783.68,38043.11
13:30,35920.93,36010.64,37093.93,37583.24,22764.97,22996.99
13:35,57821.52,57692.31,57951.55,57545.90,36461.24,37132.28
13:40,51349.67,50461.80,50997.68,51472.59,31871.77,32653.69
13:45,24288.93,23284.24,23264.67,22913.71,14241.62,15142.30
13:50,23054.63,22436.41,22715.73,22667.49,13924.78,14294.56
13:55,52306.90,51901.20,52558.47,52137.28,32840.82,33153.54
14:00,47268.40,47101.74,48003.85,47961.24,29955.41,29960.77
14:05,46117.69,45406.64,45610.39,45478.79,28263.62,29216.93
14:10,30298.50,30231.39,30588.51,29941.25,18759.70,19342.69
14:15,30012.85,30333.54,31031.69,31168.17,19292.60,19250.54
14:20,26291.15,26376.51,27033.94,26953.65,16725.10,16618.17
14:25,20387.91,19727.48,19800.91,19411.41,11891.88,12516.16
14:30,15554.87,14809.32,14967.13,14673.61,9119.87,9578.85
14:35,21401.90,20662.28,21036.56,20935.82,12623.24,12981.70
14:40,33527.43,32885.35,33400.13,33097.63,20341.30,20839.10
14:45,27066.96,26426.19,26730.62,26542.49,16324.88,16861.23
