Período: 23/5/2021 0:00:00 -  13:24:11 [W/m2]
Fecha,MeteoControl
0:00,0.12
0:05,0.12
0:10,0.12
0:15,0.12
0:20,0.12
0:25,0.12
0:30,0.12
0:35,0.12
0:40,0.11
0:45,0.11
0:50,0.12
0:55,0.12
1:00,0.11
1:05,0.11
1:10,0.11
1:15,0.11
1:20,0.10
1:25,0.10
1:30,0.10
1:35,0.10
1:40,0.09
1:45,0.09
1:50,0.09
1:55,0.09
2:00,0.10
2:05,0.10
2:10,0.09
2:15,0.09
2:20,0.09
2:25,0.09
2:30,0.09
2:35,0.09
2:40,0.09
2:45,0.09
2:50,0.09
2:55,0.09
3:00,0.09
3:05,0.08
3:10,0.08
3:15,0.08
3:20,0.08
3:25,0.08
3:30,0.08
3:35,0.08
3:40,0.08
3:45,0.08
3:50,0.08
3:55,0.08
4:00,0.08
4:05,0.08
4:10,0.08
4:15,0.08
4:20,0.08
4:25,0.08
4:30,0.08
4:35,0.08
4:40,0.08
4:45,0.08
4:50,0.08
4:55,0.08
5:00,0.08
5:05,0.08
5:10,0.08
5:15,0.08
5:20,0.07
5:25,0.08
5:30,0.08
5:35,0.08
5:40,0.10
5:45,0.15
5:50,0.36
5:55,1.35
6:00,4.15
6:05,8.16
6:10,13.36
6:15,21.29
6:20,35.68
6:25,52.50
6:30,63.75
6:35,73.01
6:40,82.30
6:45,91.94
6:50,100.38
6:55,109.01
7:00,120.07
7:05,132.75
7:10,142.04
7:15,149.53
7:20,159.75
7:25,170.94
7:30,182.57
7:35,183.58
7:40,171.05
7:45,177.33
7:50,256.77
7:55,196.76
8:00,197.06
8:05,198.54
8:10,197.92
8:15,205.11
8:20,228.56
8:25,231.30
8:30,229.93
8:35,253.11
8:40,325.36
8:45,477.49
8:50,340.00
8:55,478.13
9:00,409.00
9:05,352.07
9:10,453.89
9:15,754.31
9:20,775.69
9:25,598.06
9:30,659.64
9:35,732.57
9:40,858.49
9:45,712.83
9:50,489.13
9:55,907.63
10:00,975.65
10:05,679.10
10:10,673.06
10:15,547.47
10:20,581.57
10:25,700.84
10:30,783.61
10:35,825.81
10:40,838.33
10:45,629.36
10:50,813.11
10:55,793.18
11:00,797.87
11:05,975.81
11:10,1021.49
11:15,893.84
11:20,898.79
11:25,952.11
11:30,1051.39
11:35,548.23
11:40,292.87
11:45,846.66
11:50,1041.91
11:55,645.82
12:00,847.19
12:05,674.41
12:10,1067.07
12:15,1079.39
12:20,784.30
12:25,894.59
12:30,696.60
12:35,877.26
12:40,888.98
12:45,406.37
12:50,691.93
12:55,636.11
13:00,810.28
13:05,407.55
13:10,263.92
13:15,189.70
13:20,726.57
13:25,883.51
13:30,551.31
13:35,875.71
13:40,791.04
13:45,377.02
13:50,358.88
13:55,774.72
14:00,705.30
14:05,691.85
14:10,455.86
14:15,442.70
14:20,386.04
14:25,300.94
14:30,233.90
14:35,316.61
14:40,482.15
14:45,395.46
14:50,308.80
14:55,390.90
15:00,350.47
15:05,285.92
15:10,259.00
15:15,247.52
15:20,244.05
15:25,245.86
15:30,252.24
15:35,255.69
15:40,276.63
15:45,296.92
15:50,277.79
15:55,286.85
16:00,272.37
16:05,264.81
16:10,254.77
16:15,217.18
16:20,200.30
16:25,180.24
16:30,161.24
16:35,139.53
16:40,127.32
16:45,115.84
16:50,107.12
16:55,100.70
17:00,96.79
17:05,88.36
17:10,81.36
17:15,75.26
17:20,65.96
17:25,56.77
17:30,46.30
17:35,35.16
17:40,26.26
17:45,20.38
17:50,15.89
17:55,12.46
18:00,8.91
18:05,5.12
18:10,2.53
18:15,0.95
18:20,0.37
18:25,0.24
18:30,0.23
18:35,0.22
18:40,0.22
18:45,0.22
18:50,0.21
18:55,0.21
19:00,0.21
19:05,0.21
19:10,0.20
19:15,0.20
19:20,0.20
19:25,0.20
19:30,0.19
19:35,0.19
19:40,0.19
19:45,0.20
19:50,0.19
19:55,0.19
20:00,0.19
20:05,0.19
20:10,0.19
20:15,0.18
20:20,0.18
20:25,0.18
20:30,0.18
20:35,0.18
20:40,0.17
20:45,0.17
20:50,0.16
20:55,0.16
21:00,0.16
21:05,0.16
21:10,0.16
21:15,0.15
21:20,0.15
21:25,0.15
21:30,0.14
21:35,0.14
21:40,0.14
21:45,0.14
21:50,0.14
21:55,0.14
22:00,0.14
22:05,0.14
22:10,0.14
22:15,0.14
22:20,0.14
22:25,0.15
22:30,0.15
22:35,0.15
22:40,0.15
22:45,0.14
22:50,0.14
22:55,0.15
23:00,0.14
23:05,0.14
23:10,0.13
23:15,0.12
23:20,0.12
23:25,0.12
23:30,0.11
23:35,0.12
23:40,0.12
23:45,0.11
23:50,0.11
23:55,0.11
